"""@relation new_dataset""",
""" I LOVE ROSIE &amp;&amp; Our shed talk ;) what happens in the shed  stays in the shed. Glad to hear that. Judging from the pictures of &quot;Shed&quot; I don t want to know the conversations that happen during shed talk :P""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" i loved your fanfic by the way! really  really good! you should write another! ;-) Thanks <333 I intend to sometime :D Tell me  what did you like about it? :)""",0
###############################################################################################################################################################################################################################################################,0
""" I mean&#039;t you&#039;re really pretty :D Well thank you :)  If its serious  then thanks :D If only it wasn t anonymous  then I could say a nice comment back lol.""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" i miss you... <3 I miss you too. Even now  you just signed out  but still  missage :( <33""",0
""" i miss you... i think you should come home from work now :-) Im home ;)Im sure you didn t miss me tooooooooooo much :P <3""",0
""" i miss you. Awwwww  tee-tee is this you? I miss you tooooooooo :( <3333""",0
""" i miss youuuu <33333 Awww  well see  we have a problem. Im home now  and you seem to have disappeared : ( I MISS YOU NOW!!!!!!!! : ( <3333333333333""",0
""" i missed you... <33333 :-) I missed you too! I didn t think you were coming back :( Got stuck in a shop or something :       ( <33333333""",0
""" i missed you... :-) I missed you too :) Glad you re home now! <3""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" i really want two double cheese burgers right now. GET GET >>> McDONALDS!""",0
""" I remember your Ashleigh phase ;) You do? Who is this then? :P""",0
""" I say &#039;banana&#039;  and the first thing (or word) that pops into your head is? Yellow...or Skin :/ lol""",0
""" I say &#039;flirt&#039; you say? Me? lol""",0
""" I say &#039;horse&#039;  you say? Jock! lol""",0
""" i say &#039;now&#039;  you say? Righteo! :P""",0
""" I say &#039;pain&#039;  you say? Good or bad? ;)""",0
""" i say &#039;pants&#039;  you say? Lingerie  boxers  thong  briefs? You know that  pants  mean something different over here :P""",0
""" I say &#039;sunset&#039;  you say? Walk?""",0
""" I say &#039;wax&#039; you say? Candle?""",0
""" i say &#039;wow&#039;  you say? THANKS! :D""",0
""" i so tired Kelly  im pratically asleep but im at the wrong end of my bed lying horozontally across it. ceebs to move. WAKE ME UP GIRL!! :D What if you roll? Roll up a little then twist? Comprende! Sorted :)""",0
###############################################################################################################################################################################################################################################################,0
""" I stood to close  end result 3internal stiches 5external ones. Night Kelly :) x BLOODY HELL!!! Thats insane!!!!!! I hope you are okay now :) Stupid brothers :S Thats why boys suck! Nighttttttt! xxx""",0
""" i think all we&#039;ve done is decide the location?.. haha soo what next? either way we should continue it ;-) We should. Hmmm  so Alaska. We decided a cottage right? With a nice warm fire? :P Hmmm  one bedroom? or 2? ;)""",0
###############################################################################################################################################################################################################################################################,0
""" i think i love you more than that other person who seems to love you a lot ! You do? Hmmmmm  thats a lot of love. Are you sureeeeee? ;)""",0
""" i think i use too many &#039;;-)&#039; faces.. haha :-p Oh I like them :P It shows your  not so shy  side ;) Besides I think I use too many too :P should we stop? Nahhhhhh ;) haa""",0
""" i think i want you. HAHAHA! Better determine either/or...""",0
""" i think i&#039;m in love... Oh you are? Care to elaborate? :) This Tori? Love with Paris? lol""",0
""" i think we should continue planing our alaska honeymoon? ;-) haha <3 Oh I completely agree! Where did we finish up last? :P""",0
""" i think you should ask me questions :) i ask you loaaaaaads too. No problem sir! You are on my  ask questions  list :P Just one problem  who are you to ask? ;)""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" i wanted you to see the beef babe  but in a nice way :) xxxxx You called yourself beef? Shame. I always preferred Chicken...""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" I WILL STAND BY YOU  FOREVERRRR!! <3 Thanks. I must remember to always take you with me then :)""",0
""" i wish i chatted more with you last night...<333333333333 Welllll  I am here now  and you aren t : ( COME BACK!!!! *uses mind powers to bring you back*....""",0
###############################################################################################################################################################################################################################################################,0
""" i would love to join you  but im stuck over here in the USA.. not quite the party it sounds like :-( :( Well in good time little one  in good time :)""",0
""" i would walk through hell for your   let it burn right through my shoes   these soles are useless without you ! :D Do you like emo music? ;)""",0
""" I&#039;m appalled by your response to Canadians. What the hell!!!! LOL HAHAHA! I take it the &quot;asker&quot; is a Canadian? ;) What can I say  you are from the same family (you re close enough). Live with it  I love you all!! :D""",0
###############################################################################################################################################################################################################################################################,0
""" i&#039;m katie and who is Katie? There is only one Katie that doesnt need a name  but she has a last name called Fitch ;) lol (If you aren t a fan of Skins  this will not make any sense to you :P)""",0
""" I&#039;m so bored  why am i sat in alone on a saturday night?! I should be asking the same question :/ Except im not quite as bored ( I don t think) :)""",0
""" i&#039;m sore... Best put some ice on that...""",0
""" i&#039;ve been thinking about what cookies i want to send you... do you have any ideas  preference? Hmmmm  surprise me :D I love anything with chocolate in though (as you know ;)) But white chocolate cookies <3333333 Heavenly :D""",0
###############################################################################################################################################################################################################################################################,0
""" ideal woman? Emily Fitch ;)""",0
###############################################################################################################################################################################################################################################################,0
""" If 7-11 is open 24 hours a day  365 days a year  why are there locks on the doors? Well  isn t it lucky we don t have seven-elevens here then :P Otherwise I would be having words ;)""",0
""" If a book about failures doesn&#039;t sell  is it a success? Trick question? I think so. All in all  FAILLLLLLLLLLLL! The book....and the so called success...""",0
###############################################################################################################################################################################################################################################################,0
""" If a fork were made of gold would it still be considered silverware? I never even use the term  silverware  so luckily  this dilema will never apply to me...""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" If a turtle doesn&#039;t have a shell  is he homeless or naked? I think he has a BAREEEE BACKSIDE!!! Someone get this thing a towel! There are kiddies around! Ohhhh looook! I just saw his winky! *giggles* :P""",0
""" If abandoned alone in the wilderness would you survive? I doubt it...I would end up hanging myself from a tree due to pure terror lol!""",0
""" If all the world is a stage  where is the audience sitting? Audience? There is no audience  we are all the entertainers  the aliens are the audience but they don t sit. They hover :)""",0
###############################################################################################################################################################################################################################################################,0
""" If an atheist has to go to court  do they make him swear on the Bible? :-O They just make him sit on it instead. But don t break wind otherwise it might be misplaced...""",0
###############################################################################################################################################################################################################################################################,0
""" If corn oil is made from corn and vegetable oil is made from vegetables. What is baby oil made from? HAHAHAHAHAHAHAHA! I dread to think O_O""",0
""" If dawn breaks  does dusk come together? These are random mind bursts aren t they? Kind of riddles in a way  but still...an educational answer is probably needed. Sucks that you came to me with it then ;)""",0
""" If deserted on an island  what three things would you want and why would you choose them? Hmm  okay so can I say a boat? :P For obvious reasons... A laptop  to contact you obviously :) and a power outlet to keep myself charged :D""",0
""" If given the chance would you want to be in skins? OF COURSE! Playing the blonde extra girl from S4 Episode 4 would do nicely...""",0
""" If i came to bristol and like went to TGI fridays whilst you&#039;re working. Any chance of a free meal? No chance  unless im eating with you. Sucks to be you :P""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" if i hugged you? :-) Hug you back :D Probably harder :)""",0
""" if i kissed you  would you kiss me back? It depends on who kissed me :)""",0
""" if i screamed? Jump out of my Skin!!! lol Then be like &quot;WTF?! WHAT IS IT?!&quot; Then if it was something scary  protect you :P""",0
""" if i told you that i was a leprechaun  what would you say/do? Probably say  cool  and change the subject :P I am very open minded :) Oh  as long as you don t have a ginger beard. That would be a tad of an issue  especially being a girl and all ;) lol""",0
###############################################################################################################################################################################################################################################################,0
""" If it&#039;s zero degrees outside today and it&#039;s supposed to be twice as cold tomorrow  how cold is it going to be? FREAKING DAMN COLD! But it s already freezing  so im going to say  freezing ice. :/""",0
""" If money were not an object  what would you do with your life? I would do anything that enables me and my family/friends to be happy. Whatever that meant  I would do it :)""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" If quitters never win  and winners never quit  who came up with  &quot;Quit while you&#039;re ahead&quot;? Obviously some quitter... :( WAY TO SET AN EXAMPLE DUDE!""",0
""" If quizzes are quizzical  what are tests? Testical ;)""",0
""" If sour cream is past its expiration date is it good then No  its out of date then. BUT  regular cream  if its out of date  you just change it to a sour cream pot. They you have a loads of time before you actually need to throw it out :)""",0
""" If Superglue is so good why doesn&#039;t it stick to the inside of the tube? :O I HAVE ALWAYS WONDERED THAT!!! but not enough to properly google it lol. Its odd  but I would really like to know :)""",0
""" If the people at the psychic hotlines were really psychic  wouldn&#039;t they call you first? Ohh yeah  those people. Well they knew you would be calling  so they saw no point ;)""",0
""" If the whole world were listening  what would you say? Hello. Im Kelly. Got a problem?""",0
""" If the world was flat  would you go up to the precipice just to see what was over the edge? Hmmmm  I think there was a bit of a give away then. The edge  is boring. Deal with it ;)""",0
###############################################################################################################################################################################################################################################################,0
""" If you add your username to your ignore list  would you not be able to read your own posts? Why would I read my own posts anyway? :P I post them  so there is no point in reading them back  because I already know what they say ;)""",0
""" if you are friends with both the bride and the groom  then who&#039;s side do you sit next to at the wedding? You sit in the aisle and they just hop over you :) BESTTTTT view in the HOUSE! :D""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" if you could be anywhere in the world right now  where would you be? Ummm  its really cold here  so somewhere warm at least :) In bed  all warm and cosy <3333333""",0
###############################################################################################################################################################################################################################################################,0
""" If you could change one thing that happened last year what would it be? Hmmmm. Probably dying my hair red. Unoriginal  but who cares :)""",0
""" If you could go anywhere right now  where would that be? Toooooo  ermmm  lets think.  Its random  but London s nightlife :) With people obviously  not by myself :)""",0
###############################################################################################################################################################################################################################################################,0
""" If you could have any animal as a pet  what would you have? A BOTTLENOSE DOLPHIN :D""",0
""" if you could kiss anyone in the world right now and they would fall in love with you from that single kiss  who would you kiss? I DONT CARE IF THIS ISNT POSSIBLE! Emily Fitch :) lol. No  I don t mean Kathryn Prescott  I mean Emily Fitch XD lol.""",0
""" If you don&#039;t recognize the number on your caller ID  do you answer? NO lol! Its always someone trying to sell something  and do I really need to listen to that?""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" If you had one word to describe yourself   what would you choose? Independent :)""",0
""" If you had to choose between a millions bucks and being able to fly  which would you choose? A million bucks. Because what can you really achieve by flying?  1) you would look extremely odd 2) With a million bucks you can buy flying equipment :)""",0
###############################################################################################################################################################################################################################################################,0
""" If you mated a bull dog and a shitsu  would it be called a bullshit?... sorry idk why this came to mind :-P Ohhhh  I think I have heard that somewhere! I don t know where  but somewhere. Perhaps I just read your mind...who knows...""",0
""" If you think youu2019re a hypochondriac  then are you one or not? I don t even have a clue what that is o_O Obviously its something self diagnosed  yes?""",0
""" If you try to fail  and succeed  which have you done? You have failed...pure and simple...so as a result  succeeded :)""",0
""" If you were a genie and a person asked you this wish  &quot;I wish you would not grant me this wish&quot;  what would you do? They cancel each other out  so I do nothing...use it on myself instead :) Im a hardcore genie  I bent rules...""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" IM A HERO! will you be my heroine? Im already a heroine ;)""",0
""" im a question theif.. its my new thing ;-) I certainly did think so :P So  can I become a major role in your new  business? PLease? Can I be the executive manager and steal some too? :)""",0
""" im answering your questions right now.. promise :-) Sure thannnnnng :) I shall happily await :)""",0
""" im back Kelly :) YAYYYYY! :D""",0
""" im bisexual lol and who is &quot;I m&quot;? :)""",0
""" im bored  are you bored? :-/ yes im bored...lol""",0
###############################################################################################################################################################################################################################################################,0
""" im going shopping this weekend... care to join me? :-) I Would LOVE to join you :) Well thanks! Can I spend all my money on nice clothes and take you to dinner? :P haha""",0
""" im good  missed you though.. haha good day? Awwwwww  I missed you too (didn t want to be soppy and admit it though  but I clearly failed ;)) Pretty boring day  but there again  you weren t here  so what do I expect? :P Anything fun happen at school? :)""",0
""" im katie allen haha but no i love skins so much Ohhhhhh  did you just tweet me saying Hi? See  its all coming together! :D Who doesnt love Skins right?! XD""",0
""" IM MARY ! AND IM HURT VERY! DEEP DOWN YOU CUT ME DEEP KELLY! Awwww. Well it got you to admit your name ;) I feel there was a win on my part :P Im sorry :( *seals cuts with superglue*""",0
""" im taking your advise and going upstairs  but ill be ipoding :) haha. haha! Go for it! :D You will thank me later :)""",0
""" Imagine. It is a dark night  you are alone  it is raining outside  you hear someone walking around outside your window. Who do you call? Can I call the local butchers? They are bound to have some utensils that come in handy in case im attacked ;) haha""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" In scale from 1-10  how afraid of dark are you? Depends on where I am. In my bedroom  like 2  in the woods  about 9 :)""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" inny or an outy? Inny""",0
""" inny or outy. Inny :) You?""",0
""" is anything really ever perfect? :-( Well  what is perfect? I suppose that determines our answer :) There isn t such a thing  its different to the individual. But I suppose  no :(""",0
""" is curiosity ever a bad thing? Never. Curiosity keeps you alive :) It keeps things entertaining...""",0
###############################################################################################################################################################################################################################################################,0
""" Is forever over now? Forever will never be over...""",0
""" Is having a crush on john bishop wrong?Lol :-P Totally not! Only if you have a crush on his on screen daughters  then yes. Fuck it   John Bishop is totally hot! Not to me  obviously  but in general XD""",0
""" is it always obvious that im asking you the questions? Onlt a tad ;) haha <3""",0
""" Is it just me or is it weird watching people do ski jumping? Its interesting...for about 5 seconds  then I switch the channel :P""",0
""" Is it just me that crys when they yawn? I cry when I yawn. Its bloody annoying when you have just done your make-up :S""",0
###############################################################################################################################################################################################################################################################,0
""" is it possible to be cute and drop dead gorgeous? Yes I think so  definitely! well  yourself for one thing :P Don t even go there by saying you arent! If you saw yourself in a bar  you would SO chat yourself up  don t even deny it :P""",0
""" is it wrong that im working my way through a tub of carte dor? No  why is it wrong? The only problem  is that its French :P JOKE!""",0
""" is it wrong to like boys ? no lol. Thats like saying is it wrong to like tea :/""",0
""" Is it? Of course.""",0
""" is love eternal? I would like to think so yes :)""",0
###############################################################################################################################################################################################################################################################,0
""" IS ROSIE ASLEEP?! &quot;Rosie? Are you asleep?&quot; &quot;yes...&quot; Yeah she is sorry...""",0
""" Is the glass half empty or half full? Half full. Why be negative about it :)""",0
###############################################################################################################################################################################################################################################################,0
""" is there anywhere more secluded where you will post the answers that escape this form? Not that im aware of.""",0
""" Is this THE KELLY BLAKE  the one that was in skins?! BAHAHAHAHAHAHAHAHA! Hey lester buddy ;)""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" Is your middle finger longer than your ring finger? Its actually not  because then my hand would look scary ;)""",0
""" Is your middle name as cool as Carla&#039;s? Carla s middle name will always be cool to you because its personal. Mine  is cool to anyone else who is named Annabel :P""",0
###############################################################################################################################################################################################################################################################,0
""" It doesn&#039;t like you. Does this face look like it cares? To me  this face looks like it s smiling...""",0
###############################################################################################################################################################################################################################################################,0
""" It&#039;s my dads birthday today  guess his age. Happy Birthday mystery persons dad :) Ermm  45?""",0
""" italian or french (cuisine)? ITALIAN! Thats my favourite kind of food :D""",0
""" Its from the film JAR HEAD. But maybe it was also in Family guy  who knows. Ohhhh. I don t know either  I just googled it :P lol""",0
""" its half term :D Ohhhhh yeah! I forgot that! Oh bollocks! That means work is going to be busy : (""",0
""" its must of been love  but its over now. It must have been good  but we lost it somehow : (""",0
""" its not very important. so yea.. i had a dream about you! :-) haha ;-) I feel very special to have been tainting your dreams :D Even if it did end up with you being in pain :( Im glad I could have helped <3""",0
""" Je t&#039;aime!!! <3333 Like wise ;);)""",0
""" JESUS CHRIST! Missed his middle name :(""",0
""" Jesus rosie Christ Jesus H Christ.""",0
""" Join me in the shed sometime ;) ? haha. I dont know if that wink is a good idea :P""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" Kelly  if I could bake...what would you want me to make you? Hmmm  well Im am getting baked cookies  soooo  second best option  would be cheeeeeeesecake! A strawberry cheesecake <333333 :D""",0
""" kelly  you are my lobster <3333 I love you more than cheese!!""",0
""" KELLY make twitter work pleaase :) It worksssssss XD""",0
###############################################################################################################################################################################################################################################################,0
""" Kiss me? I don t know who has posted this  so  as a result  thank you for the offer  but I shall have to decline :) Unless you are that person that is allowed kisses  then of course ;)""",0
""" kiss me? I would  you know that ;) I don t think you even need the question mark  you do not have to ask :P""",0
""" knock  knock... Who s there?""",0
""" lace or cotton? It depends on what it is. Bedding or anything  then cotton lol. Clothing or underwear  then lace :P""",0
""" lace or leather? LACE! Im not a big fan of leather  unless its a jacket  then I would say a big no no to a lace jacket :P""",0
###############################################################################################################################################################################################################################################################,0
""" Last furry thing you touched? :-))) My cat...""",0
""" Last words before you die? &quot;The lights going out&quot;""",0
""" least favorite movie? Ummm  I have too many to think about :S I watched St Trinians the other day. Thats definitely up there on worst movie list :( Also Mr and Mrs Smith  damn boring :(""",0
""" leather jacket or leather pants? Jacket DEFINITELY! More movement. Besides  if you split your jacket  you just take it off...can t say the same for your pants (trousers) now can we ;) lol""",0
""" less censorship more fun? I guess thats the rule of life :) We live once  may as well enjoy it right?""",0
""" lily loveless or Kathryn Prescott ? Hmmmmm  thats difficult. Im attracted to Kat more (there is something that draws me in) but I think I could get on with Lily better. So  hard to say. Can I be greedy and say both? :P""",0
""" live where you are now or somewhere else? where? Ummm  how about New Jersey? ;) Sounds good to me :P""",0
###############################################################################################################################################################################################################################################################,0
""" long hair or short? You mean on me or someone else? Long for both anyway lol""",0
""" Louise rawlings or Rosie edge. Take your pick. they&#039;re after me obviously ;) I cant pick. I ship you with them both ;)""",0
""" Love me or hate me? Love you. &quot;SHARE THE LOVEEEEEE!!! You feeling it?&quot;""",0
###############################################################################################################################################################################################################################################################,0
""" love you. Love you toooo <333 :)""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" margarita or pina colada?? or daiquiri? Pina Colada :) Margaritas and daiquiri s are pretty tasteless if im honest :(""",0
""" Marmite; Love it or hate it? (or don&#039;t have a clue what i HATE IT!! Isn t it made from Olives or something? Yeah  not a fan of olives  so no marmite thanks :)""",0
""" mashed potatoes  fries  jacket potato or roast potatoes? Fries :D Im British  im a chip person :P""",0
""" Mcdonalds or KFC? I don t eat either. But McDonalds because I don t like the KFC batter.""",0
""" Me + You ;)? Hmmm  nice and romantic aren t we. Bringing in my love for mathematics ;)""",0
""" Me and you  shed tonight ? ;-) Well of course my dear  thats alright ;) (Lame excuse to fill the answer with song...)""",0
""" me move there or you move here?? ;-) I think you should move here ;) I would take care of you! I will have my own flat soon  my own car  you can move to London with me  become a successful doctor  and if ever I get sick. You can be my nurse ;) haha!""",0
""" Megan Fox; do you think shes hot? Not personally  no. :)""",0
""" mint or cinnamon? I HATE cinnamon. So Mint :D""",0
""" minty or fruity scents? It depends on what it is. For perfume  then fruity. Nahh  probably all fruity :)""",0
""" mmmm i smell food  like cheese or something!!! whats your favourite smell??? Favourite smell? My conditioner :)""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" MOPED&#039;S RULEE!!!! THEY DO RULE! Especially if they are made by vespa  orange  have black pen drawings on them  pom poms coming out of the handles and a pair of bunny ears in the centre ;)""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" most favorite song ever? Ummmmmmmmmmmmmmmmmmmmm  ummmmmmmmmmmmmmmmmmmmmmmmm  ummmmmmmmmmmmmmmmmmmm  I don t think I have one :/  Ummmmmmmmmmmm  ummmmmmmm  ummmmmmmmmmmmmmmmm  perhaps...... Ummmmmmmmm...yeah  don t have one :)""",0
""" most influential person in your life? Ummmm  hmmmm  this means I need to think... I don t think there is anyone as such. There are elements in certain people  and traits that I love over a mixed variety of people.""",0
###############################################################################################################################################################################################################################################################,0
""" my brother made a dog bite my face WTF? Did he shove some kind of meet on your face???? A dog bit your face? In seriousness? :I""",0
""" My brother. WTF?! WHY? Being a typical brother? :(""",0
""" my hair feels soooooooo soft right now... :-) <333 Awwwww! I love soft hair <3333! Its a sign of good condition :) So goooo you!""",0
###############################################################################################################################################################################################################################################################,0
""" my puppy says hi! *woof  woof* Hello Puppy! All my cats say hi too! *meow!*. Now be good  and please do not chase :)""",0
""" my questions aren&#039;t very interesting :-( :-P No they are :) Its keeping me entertained  and if im keeping you entertained with my answers  we are on to a winner :D""",0
""" my tv is brokennnn!!!! ahhhhh!!! :(((( You can borrow mine if you like? Im watching the Skins House party  and its not that fantastic  anyway. Welcome to mine :)""",0
""" Naah but that would be awesome  Louise&#039;s mixtape is what Rosie made for me. How cute....and you wonder why I didnt ship Lousie :P""",0
###############################################################################################################################################################################################################################################################,0
""" Name 3 of the best places you have ever been to? Ermmmm  Florida  Key West  and Los Angeles.""",0
""" Name 3 of the Sexiest parts of a girl&#039;s body? so by parts  you don t mean face? Okay  so legs  torso and neck :)""",0
###############################################################################################################################################################################################################################################################,0
""" Name 5 of the most important things in your life? Family  Friends  Security (ie. home  car  money  career)  Happiness and Love.""",0
""" Name a movie or movies you can watch over and over? Hmmm  okay. It depends on my mood  but ANY disney film  The Descent  Freaky Friday (new one)  Moulin Rouge  LOADS! But mainly happy feel good films :)""",0
""" Name someone you can tell just about anything to? You? ;)""",0
###############################################################################################################################################################################################################################################################,0
""" Name your 2 favorite colors and why are they your favorite colors? Blue and Purple. They are so vibrant  and I love to wear bright things because it expresses personality :) Not like CLOWN vibrant  but still colourful :)""",0
""" Name your least favorite feature? My body. Im so freaking tall  and I hate it because I can t wear heels :( My friends are pretty short too  so that makes me look like the sore thumb while on a night out lol.""",0
""" Names? I&#039;m one of your keenest followers on Twitter.... drink? Meal? Rampant sex? Or a combination of all the above? Are you perhaps from Lester ;);)""",0
""" naomily or spashley? Oh god! Do you even need me to answer that?! lol NAOMILY! Spashley were amazing until the writers ruined it. Im seeing a recurring theme here O_O Lets not think about it...""",0
""" NARR I WAS SHARING THE LOVE FOR LOUISEEEE!!!!!! Of course.""",0
